Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
61,film,I'm Still Here,Ainda Estou Aqui,2024,,movie,137,"Biography,Drama,History",tt14961016,8.1,170608,50.2022,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,I'm Still Here,1,,,804917,1000837,,11,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt14961016/,
62,film,City of God,Cidade de Deus,2002,,movie,130,"Crime,Drama",tt0317248,8.6,877486,50.2017,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,City of God,2,,,476,598,,12,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0317248/,
63,film,Saving Private Ryan,Saving Private Ryan,1998,,movie,169,"Drama,War",tt0120815,8.6,1653075,50.2012,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Saving Private Ryan,1,,,700,857,,13,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0120815/,
64,film,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980,,movie,124,"Adventure,Fantasy,Sci-Fi",tt0080684,8.7,1516017,50.2007,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Star Wars: Episode V - The Empire Strikes Back,1,,,1266,1891,,14,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0080684/,
65,film,Hamilton,Hamilton,2020,,movie,160,"Biography,Drama,History",tt8503618,8.3,141543,50.1997,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Hamilton,1,,,407854,556574,,16,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt8503618/,
66,film,Portrait of a Lady on Fire,Portrait de la jeune fille en feu,2019,,movie,122,"Drama,Romance",tt8613070,8.0,129188,50.1992,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Portrait de la Jeune Fille en Feu,1,,,383525,531428,,17,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt8613070/,
67,film,A Separation,Jodaeiye Nader az Simin,2011,,movie,123,Drama,tt1832382,8.3,279370,50.1987,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,A Separation,1,,,43102,60243,,18,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1832382/,
68,film,Apocalypse Now,Apocalypse Now,1979,,movie,147,"Drama,Mystery,War",tt0078788,8.4,774829,50.1982,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Apocalypse Now,2,,,23,28,,19,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0078788/,
69,film,Whiplash,Whiplash,2014,,movie,106,"Drama,Music",tt2582802,8.5,1171112,50.1977,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Whiplash,1,,,149047,244786,,20,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt2582802/,
70,film,The Shawshank Redemption,The Shawshank Redemption,1994,,movie,142,Drama,tt0111161,9.3,3218010,50.1972,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De ontsnapping,1,,,234,278,,21,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0111161/,
71,film,Star Wars: Episode IV - A New Hope,Star Wars,1977,,movie,121,"Action,Adventure,Fantasy",tt0076759,8.6,1581167,50.1967,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Star Wars - De sterrenoorlog,2,,,7,11,,22,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0076759/,
72,film,Do the Right Thing,Do the Right Thing,1989,,movie,120,"Comedy,Drama",tt0097216,7.9,125542,50.1962,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Do the Right Thing,1,,,767,925,,23,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0097216/,
73,film,Raiders of the Lost Ark,Raiders of the Lost Ark,1981,,movie,115,Adventure,tt0082971,8.4,1116458,50.1957,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Indiana Jones and the Raiders of the Lost Ark,1,,,54,85,,24,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0082971/,
74,film,Alien,Alien,1979,,movie,117,"Horror,Sci-Fi",tt0078748,8.4,1071453,50.1952,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Alien (THE DIRECTOR'S CUT),1,,,295,348,,25,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0078748/,
75,film,Ratatouille,Ratatouille,2007,,movie,111,"Adventure,Animation,Comedy",tt0382932,8.1,957706,50.1947,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Ratatouille,1,,,1416,2062,,26,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0382932/,
76,film,The Departed,The Departed,2006,,movie,151,"Crime,Drama,Thriller",tt0407887,8.5,1568337,50.1942,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Departed,1,,,952,1422,,27,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0407887/,
77,film,L.A. Confidential,L.A. Confidential,1997,,movie,138,"Crime,Drama,Mystery",tt0119488,8.2,661401,50.1937,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,L.A. Confidential,1,,,1466,2118,,28,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0119488/,
78,film,The Handmaiden,Ah-ga-ssi,2016,,movie,145,"Drama,Romance,Thriller",tt4016934,8.1,206596,50.1932,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Handmaiden,2,,,187026,290098,,29,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt4016934/,
79,film,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,,movie,117,"Action,Adventure,Animation",tt4633694,8.4,804016,50.1927,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Spider-Man: Een nieuw universum,1,,,205404,324857,,30,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt4633694/,
80,film,Chinatown,Chinatown,1974,,movie,130,"Drama,Mystery,Thriller",tt0071315,8.1,378461,50.1922,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Chinatown,1,,,672,829,,31,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0071315/,
81,film,Amadeus,Amadeus,1984,,movie,160,"Biography,Drama,Music",tt0086879,8.4,471206,50.1917,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Amadeus,1,,,235,279,,32,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0086879/,
82,film,The Pianist,The Pianist,2002,,movie,150,"Biography,Drama,Music",tt0253474,8.5,1019465,50.1912,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Pianist,1,,,335,423,,33,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0253474/,
83,film,Pan's Labyrinth,El laberinto del fauno,2006,,movie,118,"Drama,Fantasy,War",tt0457430,8.2,750491,50.1907,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Pan's Labyrinth,1,,,947,1417,,34,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0457430/,
84,film,The Truman Show,The Truman Show,1998,,movie,103,"Comedy,Drama",tt0120382,8.2,1393220,50.1902,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Truman Show,1,,,23734,37165,,35,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0120382/,
85,film,Coco,Coco,2017,,movie,105,"Adventure,Animation,Drama",tt2380307,8.4,719618,50.1897,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Coco,1,,,222605,354912,,36,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt2380307/,
86,film,Toy Story,Toy Story,1995,,movie,81,"Adventure,Animation,Comedy",tt0114709,8.3,1190858,50.1892,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Toy Story,1,,,705,862,,37,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0114709/,
87,film,The Wild Robot,The Wild Robot,2024,,movie,102,"Adventure,Animation,Family",tt29623480,8.2,232993,50.1887,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De Wilde Robot,1,,,955488,1184918,,38,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt29623480/,
88,film,Past Lives,Past Lives,2023,,movie,105,"Drama,Romance",tt13238346,7.8,176091,50.1877,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",No direct NL signal; IMDb global popularity proxy,,0,,,500028,666277,,40,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt13238346/,
89,film,Raging Bull,Raging Bull,1980,,movie,129,"Biography,Drama,Sport",tt0081398,8.1,412351,50.1872,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Raging Bull,1,,,1034,1578,,41,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0081398/,
90,film,Beauty and the Beast,Beauty and the Beast,1991,,movie,84,"Animation,Family,Fantasy",tt0101414,8.0,507950,50.1867,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Belle en het Beest,1,,,5245,10020,,42,,,,,,Disney,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0101414/,
91,film,Das Boot,Das Boot,1981,,movie,149,"Drama,War",tt0082096,8.3,289469,50.1857,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De andere kant van de oorlog,1,,,307,387,,44,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0082096/,
92,film,WALL·E,WALL·E,2008,,movie,98,"Adventure,Animation,Family",tt0910970,8.4,1333744,50.1852,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,WALL-E,1,,,5853,10681,,45,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0910970/,
93,film,Taxi Driver,Taxi Driver,1976,,movie,114,"Crime,Drama",tt0075314,8.2,1035584,50.1847,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Taxi Driver,1,,,72,103,,46,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0075314/,
94,film,Back to the Future,Back to the Future,1985,,movie,116,"Adventure,Comedy,Sci-Fi",tt0088763,8.5,1466291,50.1837,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Back to the Future,1,,,74,105,,48,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0088763/,
95,film,The Sting,The Sting,1973,,movie,129,"Comedy,Crime,Drama",tt0070735,8.2,304153,50.1832,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Sting,1,,,4577,9277,,49,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0070735/,
96,film,Top Gun: Maverick,Top Gun: Maverick,2022,,movie,130,"Action,Drama",tt1745960,8.2,896289,50.1827,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Top Gun: Maverick,1,,,297485,361743,,50,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1745960/,
97,film,"Paris, Texas","Paris, Texas",1984,,movie,145,Drama,tt0087884,8.1,143441,50.1822,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,"Paris, Texas",1,,,530,655,,51,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0087884/,
98,film,Memories of Murder,Salinui chueok,2003,,movie,131,"Crime,Drama,Mystery",tt0353969,8.1,272021,50.1817,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Salinui chueok,1,,,6518,11423,,52,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0353969/,
99,film,Cinema Paradiso,Nuovo Cinema Paradiso,1988,,movie,174,"Drama,Romance",tt0095765,8.5,318985,50.1812,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Cinema Paradiso,1,,,6342,11216,,53,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0095765/,
100,film,The Lives of Others,Das Leben der Anderen,2006,,movie,137,"Drama,Mystery,Thriller",tt0405094,8.4,445497,50.1807,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Das Leben der Anderen,1,,,461,582,,54,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0405094/,
101,film,Unforgiven,Unforgiven,1992,,movie,130,"Drama,Western",tt0105695,8.2,470750,50.1803,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Unforgiven,1,,,27,33,,55,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0105695/,
102,film,Princess Mononoke,Mononoke-hime,1997,,movie,133,"Adventure,Animation,Fantasy",tt0119698,8.3,487813,50.1798,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Princess Mononoke,1,,,96,128,,56,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0119698/,
103,film,Your Name.,Kimi no na wa.,2016,,movie,106,"Animation,Drama,Fantasy",tt5311514,8.4,400045,50.1793,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Your Name,1,,,224301,372058,,57,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt5311514/,
104,film,My Neighbor Totoro,Tonari no Totoro,1988,,movie,86,"Adventure,Animation,Comedy",tt0096283,8.1,436665,50.1788,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,My Neighbor Totoro,1,,,4169,8392,,58,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0096283/,
105,film,Fargo,Fargo,1996,,movie,98,"Crime,Drama,Thriller",tt0116282,8.1,791968,50.1783,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Fargo,1,,,231,275,,59,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0116282/,
106,film,No Country for Old Men,No Country for Old Men,2007,,movie,122,"Crime,Drama,Thriller",tt0477348,8.2,1204498,50.1778,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,No Country for Old Men,1,,,3798,6977,,60,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0477348/,
107,film,The Silence of the Lambs,The Silence of the Lambs,1991,,movie,118,"Crime,Drama,Horror",tt0102926,8.6,1738374,50.1773,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,De schreeuw van het lam,1,,,230,274,,61,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0102926/,
108,film,Up,Up,2009,,movie,96,"Adventure,Animation,Comedy",tt1049413,8.3,1248341,50.1768,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Up,1,,,8476,14160,,62,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt1049413/,
109,film,Finding Nemo,Finding Nemo,2003,,movie,100,"Adventure,Animation,Comedy",tt0266543,8.2,1218802,50.1763,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Op zoek naar Nemo,1,,,8,12,,63,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0266543/,
110,film,Inside Out,Inside Out,2015,,movie,95,"Adventure,Animation,Comedy",tt2096673,8.1,926375,50.1758,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Binnenstebuiten,1,,,98998,150540,,64,,,,,,Pixar,,,,high,Trakt/MDBList-curatielijst,curated studio mapping,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt2096673/,
111,film,Dune: Part Two,Dune: Part Two,2024,,movie,166,"Action,Adventure,Drama",tt15239678,8.4,780867,50.1753,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Dune: Part Two,1,,,537449,693134,,65,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt15239678/,
112,film,The Deer Hunter,The Deer Hunter,1978,,movie,183,"Drama,War",tt0077416,8.1,387981,50.1748,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,The Deer Hunter,1,,,6808,11778,,66,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0077416/,
113,film,A Bronx Tale,A Bronx Tale,1993,,movie,121,"Crime,Drama",tt0106489,7.8,188123,50.1743,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,A Bronx Tale,1,,,1056,1607,,67,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0106489/,
114,film,Network,Network,1976,,movie,121,Drama,tt0074958,8.1,186758,50.1738,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,Network,1,,,5936,10774,,68,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0074958/,
115,film,There Will Be Blood,There Will Be Blood,2007,,movie,158,Drama,tt0469494,8.2,715035,50.1733,medium,"Trakt/MDBList-lijst met minimaal 110.000 IMDb-stemmen en IMDb-score 6,4+",IMDb NL alternate title,There Will Be Blood,1,,,3894,7345,,69,,,,,,,,,,low,Trakt/MDBList-curatielijst,,https://app.trakt.tv/users/keffosteffo/lists/top-1000-movies-with-at-least-110k-imdb-votes-and-64-rating?mode=show,https://www.imdb.com/title/tt0469494/,
